epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1836.78,0.2686,0.98138,1,0.07047,0.000370148,0.000370148,0.000370148
2,3564.53,0.08711,0.97433,1,0.09506,0.000593866,0.000593866,0.000593866
3,5299.38,0.06339,0.99013,1,0.02398,0.000670932,0.000670932,0.000670932
4,7136.76,0.03868,0.9952,1,0.01252,0.000451066,0.000451066,0.000451066
5,8833.17,0.02072,0.99972,1,0.00095,0.000231088,0.000231088,0.000231088
